cliente,cod_cliente,mes,articulo,descripcion,m2,ingresos,cv_pintura,cv_quimicos,cv_mod,cmg,cmg_por_m2
PULPEIRO,10015,2,000069,LL R-20 ESPECIALES P01,21.0,26627.129679144382,12133.499121892948,1519.9892782352742,4014.6808959888363,8958.960383027323,426.6171610965392
PULPEIRO,10015,2,000070,LL R-26/7/8/9 ESPECIALES P02,1076.0,1364323.4064171123,621697.3835788958,77881.35539910263,205704.6020992375,459040.06533987634,426.61716109653935
PULPEIRO,10015,2,000071,LL R-12/14/15/16/20 ECONOMICA P03,25.0,31698.963903743315,14444.641811777317,1809.5110455181834,4779.382019034329,10665.429027413486,426.6171610965394
SIN FIN SH,10014,2,000125,ESCALERA BRASILERA 2 ESCALONES,35.0,60933.192283758566,20222.49853648825,2533.315463725457,6691.13482664806,31486.2434568968,899.6069559113371
SIN FIN SH,10014,2,000126,ESCALERA BRASILERA 3 ESCALONES,43.4,75557.15843186062,25075.898185245424,3141.3111750195662,8297.007185043594,39042.941886552035,899.6069559113372
SIN FIN SH,10014,2,000128,ESCALERA BRASILERA 5 ESCALONES,59.5,103586.42688238957,34378.247512030015,4306.636288333277,11374.929205301702,53526.61387672457,899.6069559113373
SIN FIN SH,10014,2,000136,ESCALERA BUTACA ECONOMICA,22.8,39693.6224019913,13173.513332340915,1650.2740735125833,4358.796401359307,20511.03859477849,899.6069559113372
ANSA,10011,3,000105,"MENSULAS 0,43 A 0,53 M DE LARGO",338.58,806100.0,318329.8741164167,47608.83935994151,67146.79749418728,373014.48902945453,1101.7026671080823
AXEL,10000,3,000017,FRENTE HORNO 30 NEGRO,42.0,100449.615366102,39488.02266196911,5905.7571419385185,8329.39185644712,46726.44370574725,1112.534373946363
AXEL,10000,3,000019,FRENTE HORNO 45 NEGRO,216.0,516598.0218828103,203081.25940441256,30372.465301398093,42836.872404585185,240307.42477241444,1112.534373946363
AXEL,10000,3,000421,CONJUNTO PURIFICADOR BLANCO,1335.9,3195015.265894659,1256001.1779553462,187845.2610932302,264934.1566911359,1486234.6701549466,1112.534373946363
AXEL,10000,3,000511,CONJUNTO PURIFICADOR NEGRO,512.4,1225485.3074664446,481753.8764760231,72050.23713164992,101618.58064865485,570062.6132101167,1112.5343739463638
AXEL,10000,3,000550,CONJUNTO PURIFICADOR MARRON,933.3,2232133.9528853092,877480.2750098993,131234.3604897909,185090.98618147848,1038328.3312041406,1112.534373946363
AXEL,10000,3,000553,CONJUNTO PURIFICADOR PLATIL,201.3,481440.65650467464,189260.4514727234,28305.450301719615,39921.5852548287,223953.16947540294,1112.5343739463633
DANES SRL,10016,3,000148,BALDE ARENA ROJO,43.5,451299.1635480388,40898.309185610866,6116.677039864894,8626.870137034517,395657.30718552857,9095.570280127093
DANES SRL,10016,3,000149,CALZAS ALUMINIO ROJO,47.04,488025.5782367758,44226.585381405406,6614.447998971141,9328.918879220773,427855.62597717845,9095.570280127093
DANES SRL,10016,3,000151,TAPA BALDE ARENA ROJO,37.5,389051.0030586542,35257.16309104385,5272.997448159392,7436.957014684928,341083.8855047661,9095.570280127095
DANES SRL,10016,3,000163,RIENDA SOPORTE TRAVESAÑO PORTA AUX (ESTRELLITA),21.2,219943.5003958258,19932.04953413679,2981.0012240261094,4204.359698968547,192826.08993869438,9095.570280127095
DANES SRL,10016,3,000168,TANQUE DE AIRE (GRAFITO),95.76,993480.6414105794,90032.69166928958,13465.126283619822,18991.013432699434,870991.8100249706,9095.570280127095
DANES SRL,10016,3,000169,TANQUE DE AIRE (SHELL),56.7,588245.1166246851,53308.8305936583,7972.772141617,11244.679006203613,515718.83488320623,9095.570280127093
DANES SRL,10016,3,000295,PORTA BALDE DOBLE (GRAFITO),3.5,36311.42695214105,3290.6685551640926,492.14642849487655,694.11598803726,31834.495980444823,9095.570280127093
DANES SRL,10016,3,000298,PORTA BALDE DOBLE (ESTRELLITA),0.49,5083.5997732997475,460.6935977229729,68.90049998928271,97.17623832521639,4456.829437262276,9095.570280127095
FRIC ROT,10001,3,000040,VAINA T2U13005,165.0,1039046.0956086713,155131.51760059292,23201.18877190132,32722.610864613685,827990.7783715634,5018.125929524626
FRIC ROT,10001,3,000041,VAINA T2U15001,84.0,528968.9214007781,78976.04532393822,11811.514283877037,16658.78371289424,421522.5780800686,5018.1259295246255
FRIC ROT,10001,3,000042,VAINA T2U15002,740.4,4662483.207204001,696117.4280695698,104110.06161645903,146835.27929793924,3715420.4382200334,5018.125929524626
FRIC ROT,10001,3,000045,VAINA T2U14005,90.0,566752.415786548,84617.19141850524,12655.19387558254,17848.69683524383,451631.3336572164,5018.125929524626
INDUSTRIAS BONO,10002,3,000344,CAPUCHON P/93 CH20 GONDOLAS METALICAS BLANCO,0.3,666.3382996919781,282.0573047283508,42.18397958527513,59.495656117479434,282.60135926087275,942.0045308695759
INDUSTRIAS BONO,10002,3,000347,CAPUCHON P/115 CH20 GONDOLAS METALICAS,0.35,777.3946829739745,329.06685551640925,49.21464284948765,69.411598803726,329.70158580435157,942.004530869576
INDUSTRIAS BONO,10002,3,000351,ESTANTE 300*1150/24 RU,579.84,1287898.6656446557,545160.3585789565,81533.19574241978,114993.20414386425,546211.9071794152,942.0045308695765
INDUSTRIAS BONO,10002,3,000352,ESTANTE 300*950/24 RU,27.2,60414.67250540602,25573.195628703805,3824.680815731612,5394.272821318135,25622.52323965247,942.0045308695761
INDUSTRIAS BONO,10002,3,000353,ESTANTE 3022 CARGA 90 KG,4.8,10661.41279507165,4512.916875653613,674.9436733644021,951.930497879671,4521.621748173964,942.0045308695759
INDUSTRIAS BONO,10002,3,000354,ESTANTE 3026 CARGA 35 KG,379.2,842251.6108106605,356520.43317663536,53320.550195787764,75202.509332494,357208.11810574343,942.0045308695766
INDUSTRIAS BONO,10002,3,000355,ESTANTE 430*950/24 RUU,36.0,79960.59596303738,33846.87656740209,5062.077550233015,7139.478734097531,33912.16311130475,942.0045308695763
INDUSTRIAS BONO,10002,3,000356,ESTANTE 4322 RU CARGA 160 KG,405.0,899556.7045841706,380777.36138327356,56948.37244012143,80319.13575859723,381511.8350021784,942.0045308695762
INDUSTRIAS BONO,10002,3,000358,ESTANTE 6022 RU CARGA 100 KG,4.2,9328.736195687696,3948.802266196911,590.5757141938518,832.939185644712,3956.41902965222,942.0045308695762
INDUSTRIAS BONO,10002,3,000377,ESTANTE 430*1150/24 RUU,1.32,2931.888518644704,1241.0521408047434,185.60951017521057,261.7808869169095,1243.4459807478406,942.0045308695762
JAIME,10013,3,000084,"MENSULAS 0,43 A 0,53 M DE LARGO",327.18,980250.0,307611.69653673936,46005.84813570105,64885.96256172306,561746.4927658365,1716.9340814409088
JORGE MANES S.A.,10031,3,000481,METROS CUADRADOS NEGRO,7.26,72600.0,6825.786774426089,1020.8523059636582,1439.7948780430022,63313.566041567254,8720.87686522965
MENGARELLI RUBEN JOSE,10040,3,000555,COLUMNA CONFOR 5 MTS (NEGRO),125.0,950000.0,117523.87697014616,17576.658160531304,24789.856715616428,790109.6081537061,6320.8768652296485
OTTA SA,10041,3,000570,CAÑO ESTRUCTURAL 80*40*1.6*6600,101.92,1598548.4370731707,95824.26832637837,14331.303997770805,20212.65757164501,1468180.2071773764,14405.221812964839
OTTA SA,10041,3,000571,CAÑO ESTRUCTURAL 80*40*1.6*6300,15.75,247028.4329268293,14808.008498238418,2214.6589282269447,3123.52194616767,226882.24355419626,14405.221812964843
PULPEIRO,10015,3,000069,LL R-20 ESPECIALES P01,31.5,39667.82638700947,29616.016996476836,4429.317856453889,6247.04389233534,-624.5523582565984,-19.827058992272963
PULPEIRO,10015,3,000070,LL R-26/7/8/9 ESPECIALES P02,1816.0,2286881.6736129904,1707386.8846222835,255353.6897561988,360147.0383644755,-36005.93912996736,-19.827058992272775
STARA ARGENTINA S.A.,10033,3,000339,8036-1196 (PROTECCION CENTRAL FONDO SIN FIN),27.6,394110.00000000006,25949.272035008275,3880.926121845312,5473.600362808107,358806.20148033835,13000.224691316605
STARA ARGENTINA S.A.,10033,3,000432,8018-1109 (PROTECCION FONDO SIN FIN 11515),9.2,131370.0,8649.757345002758,1293.642040615104,1824.533454269369,119602.06716011277,13000.224691316605
ALBERTO TOSSOLINI SA,10044,4,000578,1/2 LLANTA PLANO CON RAYO P/ 1 CARA (COD 26028),12.4,50585.70746268657,12384.970722868327,1362.717026484435,2652.824853043849,34185.194860289965,2756.870553249191
ALBERTO TOSSOLINI SA,10044,4,000579,1/2 LLANTA PROFUNDA CON RAYO P/ 1 CARA (COD 26009),20.15,82201.77462686568,20125.577424661027,2214.4151680372065,4310.840386196254,55550.941647971194,2756.870553249191
ALBERTO TOSSOLINI SA,10044,4,000602,1/2 LLANTA PLANO SIN RAYO P/ 1 CARA (COD 26020),27.9,113817.84179104478,27866.184126453732,3066.1133095899786,5968.85591934866,76916.68843565241,2756.8705532491904
ALBERTO TOSSOLINI SA,10044,4,000603,1/2 LLANTA PROFUNDA SIN RAYO P/ 1 CARA (COD 26010),43.4,177049.97611940297,43347.39753003915,4769.509592695522,9284.886985653471,119648.18201101484,2756.87055324919
ANSA,10011,4,000105,"MENSULAS 0,43 A 0,53 M DE LARGO",373.86,1328700.0,373406.8672944801,41085.918348505715,79982.66931927206,834224.5450377421,2231.3821886207193
AXEL,10000,4,000008,MUEBLE SECARROPA BLANCO,3114.4,9145599.241529891,3110625.2273629936,342261.766716381,666286.9130903035,5026425.334360213,1613.9305594529324
AXEL,10000,4,000009,TAPA SECARROPA BLANCO,1320.0,3876249.357442671,1318400.1092085638,145063.42539995597,282397.4843562807,2130388.3384778704,1613.9305594529321
AXEL,10000,4,000012,JUEGO SOPORTE SECARROPA BLANCO (I+D),420.0,1233352.0682772135,419490.9438390885,46156.54444544054,89853.74502245295,677850.8349702315,1613.9305594529321
